name	genename	timepoint	switch	pvalueSwitch	experiment	FCdown	FCup
slc35a5	ENSDART00000000004.5	4.5	down	0.00111349879038547	MZspg	5.0hpf	
mcm6l	ENSDART00000000042.11	3.5	up	0.0595362327376395	MZspg		
slc9a3r1a	ENSDART00000000069.8	5	down	0.0942448791587206	MZspg		6.0hpf
dap	ENSDART00000000070.7	5.5	up	0.123377298959973	MZspg		
thraa	ENSDART00000000160.10	3.5	down	0.000711849017768107	MZspg	5.0hpf	
ptpn4b	ENSDART00000000192.10	4	down	0.000959868373035966	MZspg	3.5hpf 4.0hpf 5.0hpf	
krt91	ENSDART00000000221.9	5.5	up	0.00737156476798939	MZspg		2.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
slc40a1	ENSDART00000000250.10	5.5	up	0.0128263804743272	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf	
triob	ENSDART00000000382.8	4	up	0.0967915889966811	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
ofd1	ENSDART00000000552.12	4.5	down	0.000102768440083056	MZspg		
osgepl1	ENSDART00000000693.9	5	up	0.0151575055541702	MZspg		
sypl2b	ENSDART00000000744.10	4	up	0.0464804765692809	MZspg		
znf511	ENSDART00000000831.9	4	down	0.0276146218971076	MZspg		
mgat4b	ENSDART00000001159.11	5.5	down	0.0500911412241934	MZspg		
bysl	ENSDART00000001201.8	5	up	0.00645583023744367	MZspg		
si:busm1-57f23.1	ENSDART00000001253.9	5	down	0.0346300693056133	MZspg	4.5hpf 5.0hpf 6.0hpf	
nkap	ENSDART00000001318.9	4	up	0.058682994279289	MZspg		
arl14ep	ENSDART00000001376.7	2.5	up	0.0813971975167063	MZspg		
pcgf1	ENSDART00000001424.8	4	down	0.037474856132592	MZspg		
g2e3	ENSDART00000001444.8	5.5	up	0.0397604768725117	MZspg		
adam8a	ENSDART00000001678.7	4	down	0.0512317464804642	MZspg	5.0hpf 5.5hpf 6.0hpf	
sp3a	ENSDART00000001795.9	4	up	0.00751093189228658	MZspg		
echs1	ENSDART00000001830.7	4.5	up	0.0390878257194754	MZspg		
fkbp8	ENSDART00000002029.10	4	down	0.00413915906997897	MZspg		
tmem39b	ENSDART00000002095.9	4	down	0.0305591987563081	MZspg		
zgc:112437	ENSDART00000002128.7	3.5	up	0.0111903285855293	MZspg	3.5hpf 4.0hpf	
unc45b	ENSDART00000002164.9	5	up	0.0174791265690842	MZspg	5.0hpf 5.5hpf 6.0hpf	
uck2a	ENSDART00000002186.8	5.5	up	0.102312046673205	MZspg	5.5hpf 6.0hpf	
bco2l	ENSDART00000002221.8	2.5	up	0.0971805045738866	MZspg		2.5hpf 3.0hpf 3.5hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
sf3b5	ENSDART00000002244.6	4.5	up	0.0248651374297846	MZspg		
hs6st2	ENSDART00000002250.5	5	up	0.00174992778317773	MZspg		
mafba	ENSDART00000002309.8	5	up	0.0352393841574159	MZspg	5.5hpf 6.0hpf	
srsf6b	ENSDART00000002318.8	4.5	up	0.0500284409857936	MZspg		3.5hpf 3.5hpf 4.0hpf 4.0hpf 4.0hpf 4.5hpf 4.5hpf
cldnc	ENSDART00000002341.6	4.5	up	0.0222906117363056	MZspg	6.0hpf	
phox2a	ENSDART00000002384.10	3	up	0.131803171317161	MZspg		5.0hpf 5.5hpf 6.0hpf
klhdc10	ENSDART00000002401.7	3.5	down	0.00473608869432596	MZspg		
acvr2aa	ENSDART00000002428.10	3.5	down	0.000519240635171503	MZspg	3.5hpf 4.0hpf	
acsl4b	ENSDART00000002453.8	5.5	down	0.0216803255096302	MZspg		
ctns	ENSDART00000002459.8	5	up	0.00185415109125053	MZspg		4.5hpf
tmed5	ENSDART00000002463.5	5.5	down	0.0803112221116526	MZspg		
neu1	ENSDART00000002464.10	4.5	down	0.136776519383737	MZspg		
msh2	ENSDART00000002465.7	4	up	0.00959713484563551	MZspg		
hspa4b	ENSDART00000002469.7	5	up	0.00684176212040155	MZspg		
elp4	ENSDART00000002498.9	2.5	up	0.068456141789653	MZspg		
ip6k2a	ENSDART00000002501.7	5	up	0.0825602546162708	MZspg		
golim4b	ENSDART00000002510.3	3.5	up	0.142152272745223	MZspg		3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
mcrs1	ENSDART00000002545.8	3	down	0.115028324948536	MZspg		
mrto4	ENSDART00000002556.8	5.5	up	0.00323348605414786	MZspg		5.0hpf 5.5hpf 6.0hpf
aarsd1	ENSDART00000002583.10	5	down	0.0548285719573596	MZspg		
rpl21	ENSDART00000002595.7	NA	none	NA	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
ranbp1	ENSDART00000002624.10	4.5	up	0.0514648063525145	MZspg		
frzb	ENSDART00000002633.7	2.5	up	0.0778387106883137	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf	
lama4	ENSDART00000002661.8	4.5	up	0.00158531806294537	MZspg		4.5hpf 5.0hpf 5.5hpf 6.0hpf
ints6l	ENSDART00000002684.8	5	up	0.00209261926838111	MZspg		
tspan7b	ENSDART00000002691.9	5	down	0.0500004384151349	MZspg		
slc17a9b	ENSDART00000002714.7	3.5	up	0.117216117979892	MZspg	6.0hpf	
itprip	ENSDART00000002741.5	4	down	0.000724754612021816	MZspg	4.5hpf	
polb	ENSDART00000002764.9	2.5	up	0.0775938085786888	MZspg		
esrra	ENSDART00000002767.5	4.5	down	0.0379876453657633	MZspg		
pycr3	ENSDART00000002787.10	5.5	down	0.11481513141544	MZspg		
appbp2	ENSDART00000002824.10	5.5	up	0.0928049212716541	MZspg		
psme3	ENSDART00000002835.9	5.5	down	0.108595154384022	MZspg		
exosc9	ENSDART00000002886.8	2.5	up	0.0918144385976579	MZspg		
atm	ENSDART00000002922.9	3.5	down	0.00133250122487982	MZspg		
phf20l1	ENSDART00000002930.10	5	up	0.0375797626355242	MZspg		3.0hpf
marcksb	ENSDART00000002932.7	4.5	up	0.0173965067024009	MZspg		4.5hpf 6.0hpf
mtmr8	ENSDART00000002938.7	4	down	0.00305577607148244	MZspg		
NPC2 (1 of many)	ENSDART00000002945.4	3	up	0.138523409728315	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
rcor2	ENSDART00000002961.7	4	down	0.121248906474425	MZspg		
dcaf11	ENSDART00000002992.9	5	down	0.00316784282505789	MZspg	6.0hpf	
mdkb	ENSDART00000003042.6	2.5	up	0.0762354232462508	MZspg		6.0hpf
cyth1a	ENSDART00000003066.9	5	down	0.00052409756957783	MZspg		
yipf2	ENSDART00000003133.10	4	down	0.00405751910321483	MZspg		
ppp1r8a	ENSDART00000003164.7	4.5	up	0.000146929127188278	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 5.0hpf	
ak2	ENSDART00000003167.5	2.5	up	0.0834271342661314	MZspg		
mid1ip1l	ENSDART00000003170.5	4	down	0.00451163393589971	MZspg		
chmp4c	ENSDART00000003195.8	4.5	down	0.00441466680309488	MZspg	5.5hpf 6.0hpf	
nsrp1	ENSDART00000003221.8	5	up	0.0615645478018607	MZspg		
dhtkd1	ENSDART00000003252.8	4.5	up	0.00258112236090313	MZspg	2.5hpf 3.0hpf	
rchy1	ENSDART00000003273.7	2.5	up	0.0890896844903492	MZspg		
sars	ENSDART00000003296.8	4.5	down	0.0300891442001465	MZspg		
zgc:103482	ENSDART00000003299.9	5.5	down	0.0810500563206964	MZspg		
rnf13	ENSDART00000003303.8	4.5	up	0.0306939068984269	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf
sox21b	ENSDART00000003310.8	4	up	0.0170277610630032	MZspg		3.5hpf 5.5hpf 6.0hpf
nusap1	ENSDART00000003314.9	5	up	0.0716242618319857	MZspg		
tfdp1b	ENSDART00000003317.11	5.5	up	0.029965856068506	MZspg		
dennd2db	ENSDART00000003325.9	3.5	down	0.00501839562005002	MZspg		
