"name"	"genename"	"pvalueSwitch"	"switch"	"timepoint"	"experiment"
"ENSDART00000000004.5"	"slc35a5"	0.112522937940749	"-1"	"3.5"	"MZspg"
"ENSDART00000000042.11"	"mcm6l"	NA	"0"	" NA"	"MZspg"
"ENSDART00000000069.8"	"slc9a3r1a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000000070.7"	"dap"	NA	"0"	" NA"	"MZspg"
"ENSDART00000000160.10"	"thraa"	0.0181642249514941	"-1"	"3.5"	"MZspg"
"ENSDART00000000192.10"	"ptpn4b"	0.0279694369382897	"-1"	"3.5"	"MZspg"
"ENSDART00000000221.9"	"krt91"	0.140197592757582	"1"	"4.5"	"MZspg"
"ENSDART00000000250.10"	"slc40a1"	0.13940097249223	"1"	"5.5"	"MZspg"
"ENSDART00000000382.8"	"triob"	NA	"0"	" NA"	"MZspg"
"ENSDART00000000552.12"	"ofd1"	0.0910195601439732	"-1"	"4.0"	"MZspg"
"ENSDART00000000693.9"	"osgepl1"	0.0557839990329703	"1"	"4.5"	"MZspg"
"ENSDART00000000744.10"	"sypl2b"	0.128346632443171	"1"	"4.0"	"MZspg"
"ENSDART00000000831.9"	"znf511"	0.0925002626057091	"-1"	"4.0"	"MZspg"
"ENSDART00000001159.11"	"mgat4b"	NA	"0"	" NA"	"MZspg"
"ENSDART00000001201.8"	"bysl"	0.0951841251530018	"1"	"4.0"	"MZspg"
"ENSDART00000001253.9"	"si:busm1-57f23.1"	0.137450181526065	"-1"	"4.5"	"MZspg"
"ENSDART00000001318.9"	"nkap"	0.148755944022694	"1"	"4.0"	"MZspg"
"ENSDART00000001376.7"	"arl14ep"	0.0811910229688151	"1"	"5.0"	"MZspg"
"ENSDART00000001424.8"	"pcgf1"	0.106278914025505	"-1"	"3.5"	"MZspg"
"ENSDART00000001444.8"	"g2e3"	NA	"0"	" NA"	"MZspg"
"ENSDART00000001678.7"	"adam8a"	0.112860364629839	"-1"	"3.5"	"MZspg"
"ENSDART00000001795.9"	"sp3a"	0.137067148221226	"1"	"3.5"	"MZspg"
"ENSDART00000001830.7"	"echs1"	0.134851751290756	"1"	"4.0"	"MZspg"
"ENSDART00000002029.10"	"fkbp8"	0.137262879565548	"-1"	"3.0"	"MZspg"
"ENSDART00000002095.9"	"tmem39b"	0.148942432320973	"-1"	"3.0"	"MZspg"
"ENSDART00000002128.7"	"zgc:112437"	0.0753219820735032	"1"	"3.5"	"MZspg"
"ENSDART00000002164.9"	"unc45b"	0.0614433074525139	"1"	"4.5"	"MZspg"
"ENSDART00000002186.8"	"uck2a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000002221.8"	"bco2l"	NA	"0"	" NA"	"MZspg"
"ENSDART00000002244.6"	"sf3b5"	0.119078644844899	"1"	"4.0"	"MZspg"
"ENSDART00000002250.5"	"hs6st2"	0.102799575005963	"1"	"4.0"	"MZspg"
"ENSDART00000002309.8"	"mafba"	0.128056947740806	"1"	"4.5"	"MZspg"
"ENSDART00000002318.8"	"srsf6b"	0.0887096695179611	"1"	"4.5"	"MZspg"
"ENSDART00000002341.6"	"cldnc"	0.111569442330963	"1"	"4.0"	"MZspg"
"ENSDART00000002384.10"	"phox2a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000002401.7"	"klhdc10"	0.103833642630074	"-1"	"3.0"	"MZspg"
"ENSDART00000002428.10"	"acvr2aa"	0.136319909090475	"-1"	"3.0"	"MZspg"
"ENSDART00000002453.8"	"acsl4b"	0.141597748241693	"-1"	"5.5"	"MZspg"
"ENSDART00000002459.8"	"ctns"	0.071973639188907	"1"	"4.5"	"MZspg"
"ENSDART00000002463.5"	"tmed5"	NA	"0"	" NA"	"MZspg"
"ENSDART00000002464.10"	"neu1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000002465.7"	"msh2"	0.110238297673119	"1"	"3.5"	"MZspg"
